Source,Target,Type,Id,Label,timeset,Weight
34767149008,814755701999317,Directed,0,,,1
34767149008,226380994085115,Directed,1,,,1
34767149008,190437687666949,Directed,2,,,1
34767149008,577811938978337,Directed,3,,,1
34767149008,105090206230520,Directed,4,,,1
34767149008,457934517637126,Directed,5,,,1
34767149008,1404150473144190,Directed,6,,,1
34767149008,110767978989316,Directed,7,,,1
34767149008,357413301003224,Directed,8,,,1
34767149008,425425190912249,Directed,9,,,1
34767149008,99158093147,Directed,10,,,1
34767149008,225867107444247,Directed,11,,,1
34767149008,136659463030729,Directed,12,,,1
34767149008,181200461932644,Directed,13,,,1
34767149008,205095032857458,Directed,14,,,1
34767149008,126545974046623,Directed,15,,,1
34767149008,205879976105633,Directed,16,,,1
34767149008,61213649618,Directed,17,,,1
34767149008,198686230002,Directed,18,,,1
34767149008,164814586897879,Directed,19,,,1
34767149008,51491238316,Directed,20,,,1
34767149008,263391853700567,Directed,21,,,1
34767149008,252862098066707,Directed,22,,,1
34767149008,217922684955583,Directed,23,,,1
34767149008,119677581444554,Directed,24,,,1
34767149008,283048951715725,Directed,25,,,1
34767149008,449881680467,Directed,26,,,1
34767149008,110639758966172,Directed,27,,,1
34767149008,175457055829249,Directed,28,,,1
34767149008,112836955449317,Directed,29,,,1
226380994085115,1396825380595303,Directed,30,,,1
226380994085115,396528727211711,Directed,31,,,1
226380994085115,1445605445697593,Directed,32,,,1
226380994085115,514718172038102,Directed,33,,,1
226380994085115,946317728766225,Directed,34,,,1
226380994085115,1615742718685692,Directed,35,,,1
226380994085115,1408474549421296,Directed,36,,,1
226380994085115,666487426818781,Directed,37,,,1
226380994085115,1406319766337308,Directed,38,,,1
226380994085115,262895237081858,Directed,39,,,1
226380994085115,1425435727676160,Directed,40,,,1
226380994085115,1496218163986955,Directed,41,,,1
226380994085115,436473923060790,Directed,42,,,1
226380994085115,270577976380974,Directed,43,,,1
226380994085115,150421328323500,Directed,44,,,1
226380994085115,257675627637,Directed,45,,,1
226380994085115,1444320322459405,Directed,46,,,1
226380994085115,261518774014039,Directed,47,,,1
226380994085115,162395107144644,Directed,48,,,1
226380994085115,213278955479607,Directed,49,,,1
226380994085115,1409851549229191,Directed,50,,,1
226380994085115,253590865334,Directed,51,,,1
226380994085115,368683849908939,Directed,52,,,1
226380994085115,136659463030729,Directed,53,,,1
226380994085115,224985840950131,Directed,54,,,1
