Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link,,,,
4.49379E+14,FinancialTradingRoomCSF,,FTR.CSF,FinanceCompany,0,92,0,yes,https://www.facebook.com/FTR.CSF/,,,,
2.76132E+14,EconomíaTecnológicodeMonterreyCCM,,,College&University,0,93,0,yes,https://www.facebook.com/Economía-Tecnológico-de-Monterrey-CCM-276132082402968/,,,,
4.00788E+14,Centroecuestreypolomonterrey,,CentroEcuestreYPoloMonterrey,"Stadium,Arena&SportsVenue",0,94,0,yes,https://www.facebook.com/CentroEcuestreYPoloMonterrey/,,,,
1.12838E+15,GrupoMovic,,GrupoMovic,Company,0,97,0,yes,https://www.facebook.com/GrupoMovic/,,,,
9.11215E+14,AnimatronicsCVA,,animatronicscva,Community,0,97,0,yes,https://www.facebook.com/animatronicscva/,,,,
3.9664E+14,CompromisoJuvenil,,,CommunityOrganization,0,98,0,yes,https://www.facebook.com/Compromiso-Juvenil-396639960369823/,,,,
1.03914E+15,CentrodeVidayCarrera,,cvcMorelia,Community,0,99,2,no,https://www.facebook.com/cvcMorelia/,,,,
1.68421E+14,UniendoCorazones,,,Community,0,99,0,yes,https://www.facebook.com/Uniendo-Corazones-168421193313594/,,,,
1.88492E+14,ColorHarmonyExperts,,,"Automotive,Aircraft&Boat",0,100,0,yes,https://www.facebook.com/Color-Harmony-Experts-188491737850475/,,,,
1.57287E+14,Digitalbusinessmx,,DigitalBusinessMx,Community,0,102,0,yes,https://www.facebook.com/DigitalBusinessMx/,,,,
2.63769E+14,CruzRosaABP,,,Community,0,103,0,yes,https://www.facebook.com/Cruz-Rosa-ABP-263769370330720/,,,,
1.05879E+14,TecnicolorCineclub,,TECnicolor.club,Community,0,104,0,yes,https://www.facebook.com/TECnicolor.club/,,,,
1.61725E+15,VCongresodePreparatoria,,,Education,0,109,0,yes,https://www.facebook.com/V-Congreso-de-Preparatoria-1617245815224730/,,,,
2.29404E+14,CIEClubdeInnovaciónEmpresarialCampusHidalgo,,cie.hgo,Education,0,110,0,yes,https://www.facebook.com/cie.hgo/,,,,
1.65754E+14,Tissat_tic,,TISSATsa,TelecommunicationCompany,0,112,0,yes,https://www.facebook.com/TISSATsa/,,,,
2.1328E+14,ProgramadeCapacitaciónparaPadresTECGuadalajara,,CapacitacionPadresTecGuadalajara,Community,0,116,0,yes,https://www.facebook.com/CapacitacionPadresTecGuadalajara/,,,,
1.78129E+14,LicenAgronegociosInternacionales,,AgronegociosTec,Community,0,117,0,yes,https://www.facebook.com/AgronegociosTec/,,,,
4.34261E+14,CentrodeMedicinaPeriodontaleImplantología,,,Dentist&DentalOffice,0,117,0,no,https://www.facebook.com/Centro-de-Medicina-Periodontal-e-Implantología-434260770054073/,,,,
4.21912E+14,PrevenciónCampusLeón,,,Community,0,121,0,yes,https://www.facebook.com/Prevención-Campus-León-421911591193325/,,,,
1.05504E+14,"InstitutoTecnológicoydeEstudiosSuperioresdeMonterrey,CampusQuerétaro",,,LocalBusiness,0,122,0,no,https://www.facebook.com/pages/Instituto-Tecnol%C3%B3gico-y-de-Estudios-Superiores-de-Monterrey-Campus-Quer%C3%A9taro/105504049483087,,,,
1.29686E+14,SeminariodeComunicacionDigital,,,NonprofitOrganization,0,124,0,yes,https://www.facebook.com/Seminario-de-Comunicacion-Digital-129686447077077/,,,,
1.48354E+14,ItesmCampusSantaFe,,,Education,0,125,0,yes,https://www.facebook.com/Itesm-Campus-Santa-Fe-148354145222226/,,,,
